u,v,w
_CJ올리브네트웍스역삼점,(주)거북곱창,146
_GS25서초제일점,(주)거북곱창,292
_KFC서초동,(주)거북곱창,219
_강남일미포차,(주)거북곱창,73
_교촌치킨역삼1호점,(주)거북곱창,219
_금문도,(주)거북곱창,73
_김영모과자점,(주)거북곱창,146
_도미노피자서초점,(주)거북곱창,146
_두나서점도곡점,(주)거북곱창,73
_뚜레쥬르서초역점,(주)거북곱창,146
_맥도날드강남점,(주)거북곱창,438
_미니스톱강남센터점,(주)거북곱창,219
_봉피양,(주)거북곱창,146
_빈로이,(주)거북곱창,219
_서초버드나무집,(주)거북곱창,73
_아웃백양재점,(주)거북곱창,219
_아이제이,(주)거북곱창,73
_연화산,(주)거북곱창,73
_왕대박감자탕,(주)거북곱창,292
_주식회사비에스케이코퍼레이션,(주)거북곱창,73
_커피빈강남대로점,(주)거북곱창,73
_커피빈서초우성점,(주)거북곱창,73
_토니모리강남점,(주)거북곱창,146
_파리바게뜨,(주)거북곱창,73
_파리크라상강남역,(주)거북곱창,292
_파스쿠찌,(주)거북곱창,146
_황토감자탕,(주)거북곱창,73
_CJ올리브네트웍스역삼점,(주)대한음악사서초지점,146
_KFC서초동,(주)대한음악사서초지점,584
_금문도,(주)대한음악사서초지점,219
_김영모과자점,(주)대한음악사서초지점,73
_더샘강남역점,(주)대한음악사서초지점,146
_도미노피자서초점,(주)대한음악사서초지점,219
_두나서점도곡점,(주)대한음악사서초지점,73
_뚜레쥬르서초역점,(주)대한음악사서초지점,146
_매드포갈릭예술의전당점,(주)대한음악사서초지점,292
_맥도날드강남점,(주)대한음악사서초지점,219
_미니스톱강남센터점,(주)대한음악사서초지점,73
_봉피양,(주)대한음악사서초지점,73
_빈로이,(주)대한음악사서초지점,219
_서초버드나무집,(주)대한음악사서초지점,146
_아웃백양재점,(주)대한음악사서초지점,292
_연화산,(주)대한음악사서초지점,73
_커피빈강남대로점,(주)대한음악사서초지점,146
_커피빈서초우성점,(주)대한음악사서초지점,73
_토니모리강남점,(주)대한음악사서초지점,73
_파리바게뜨,(주)대한음악사서초지점,219
_파리크라상강남역,(주)대한음악사서초지점,73
_한국아트체인,(주)대한음악사서초지점,584
_CJ올리브네트웍스역삼점,(주)툴쿠아즈,146
_GS25서초제일점,(주)툴쿠아즈,146
_강남일미포차,(주)툴쿠아즈,73
_도스타코스본점,(주)툴쿠아즈,73
_디에이비강남점,(주)툴쿠아즈,73
_뚜레쥬르서초역점,(주)툴쿠아즈,73
_맥도날드강남점,(주)툴쿠아즈,73
_빈로이,(주)툴쿠아즈,146
_아웃백양재점,(주)툴쿠아즈,219
_엔제리너스강남교보타워,(주)툴쿠아즈,73
_엘투제이뮈렌,(주)툴쿠아즈,73
_왕대박감자탕,(주)툴쿠아즈,73
_(주)거북곱창,CJ올리브네트웍스역삼점,126
_(주)대한음악사서초지점,CJ올리브네트웍스역삼점,126
_(주)툴쿠아즈,CJ올리브네트웍스역삼점,84
_GS25서초제일점,CJ올리브네트웍스역삼점,1092
_KFC서초동,CJ올리브네트웍스역삼점,294
_강남일미포차,CJ올리브네트웍스역삼점,1134
_고종의아침,CJ올리브네트웍스역삼점,84
_교촌치킨역삼1호점,CJ올리브네트웍스역삼점,1470
_금문도,CJ올리브네트웍스역삼점,7896
_김영모과자점,CJ올리브네트웍스역삼점,168
_더샘강남역점,CJ올리브네트웍스역삼점,756
_도스타코스본점,CJ올리브네트웍스역삼점,504
_디에이비강남점,CJ올리브네트웍스역삼점,252
_뚜레쥬르서초역점,CJ올리브네트웍스역삼점,336
_마키노차야역삼점,CJ올리브네트웍스역삼점,630
_매드포갈릭예술의전당점,CJ올리브네트웍스역삼점,84
_맥도날드강남점,CJ올리브네트웍스역삼점,5082
_미니스톱강남센터점,CJ올리브네트웍스역삼점,8484
_미스터피자선릉점,CJ올리브네트웍스역삼점,168
_봉피양,CJ올리브네트웍스역삼점,210
_빈로이,CJ올리브네트웍스역삼점,924
_삼통치킨,CJ올리브네트웍스역삼점,2814
_서초버드나무집,CJ올리브네트웍스역삼점,42
_세븐일레븐양재점,CJ올리브네트웍스역삼점,840
_아리따움강남역지하점,CJ올리브네트웍스역삼점,4662
_아웃백양재점,CJ올리브네트웍스역삼점,378
_아이제이,CJ올리브네트웍스역삼점,336
_에프샵2,CJ올리브네트웍스역삼점,546
_엔제리너스강남교보타워,CJ올리브네트웍스역삼점,294
_엘투제이뮈렌,CJ올리브네트웍스역삼점,84
_연화산,CJ올리브네트웍스역삼점,84
_왕대박감자탕,CJ올리브네트웍스역삼점,210
_주식회사비에스케이코퍼레이션,CJ올리브네트웍스역삼점,924
_커피빈강남대로점,CJ올리브네트웍스역삼점,1596
_커피빈서초우성점,CJ올리브네트웍스역삼점,546
_토니모리강남점,CJ올리브네트웍스역삼점,2142
_파리바게뜨,CJ올리브네트웍스역삼점,10206
_파리크라상강남역,CJ올리브네트웍스역삼점,1386
_파스쿠찌,CJ올리브네트웍스역삼점,714
_한국아트체인,CJ올리브네트웍스역삼점,252
_황토감자탕,CJ올리브네트웍스역삼점,4116
_(주)거북곱창,GS25서초제일점,292
_(주)툴쿠아즈,GS25서초제일점,584
_CJ올리브네트웍스역삼점,GS25서초제일점,1533
_KFC서초동,GS25서초제일점,730
_강남일미포차,GS25서초제일점,876
_고종의아침,GS25서초제일점,73
_교촌치킨역삼1호점,GS25서초제일점,292
_금문도,GS25서초제일점,292
_김영모과자점,GS25서초제일점,1168
_다이타네일예진미인,GS25서초제일점,73
_더샘강남역점,GS25서초제일점,146
_도미노피자서초점,GS25서초제일점,292
_도스타코스본점,GS25서초제일점,1314
_디에이비강남점,GS25서초제일점,146
