,(주)거북곱창,(주)대한음악사서초지점,(주)툴쿠아즈,CJ올리브네트웍스역삼점,GS25서초제일점,KFC서초동,강남일미포차,고종의아침,고향한식부폐,교촌치킨역삼1호점,금문도,김영모과자점,다이타네일예진미인,더샘강남역점,도미노피자서초점,도스타코스본점,두나서점도곡점,디에이비강남점,뚜레쥬르서초역점,마키노차야역삼점,만리성,매드포갈릭예술의전당점,맥도날드강남점,미니스톱강남센터점,미스터피자선릉점,봉피양,빈로이,삼통치킨,서초버드나무집,세븐일레븐양재점,아리따움강남역지하점,아웃백양재점,아이제이,에프샵2,엔제리너스강남교보타워,엘투제이뮈렌,연화산,왕대박감자탕,주식회사비에스케이코퍼레이션,커피빈강남대로점,커피빈서초우성점,탐앤탐스서초점,토니모리강남점,파리바게뜨,파리크라상강남역,파스쿠찌,한국아트체인,황토감자탕
(주)거북곱창,0,0,0,126,292,153,72,0,0,150,73,195,0,0,96,0,35,0,45,0,0,0,438,96,0,46,219,0,24,0,0,219,43,0,0,0,11,420,73,34,24,0,146,19,392,36,0,73
(주)대한음악사서초지점,0,0,0,126,0,357,0,0,0,0,219,65,0,73,144,0,175,0,45,0,0,292,146,24,0,23,146,0,24,0,0,292,0,0,0,0,146,0,0,136,72,0,73,57,56,0,511,0
(주)툴쿠아즈,0,0,0,84,584,0,72,0,0,0,0,0,0,0,0,42,0,28,15,0,0,0,438,0,0,0,146,0,0,0,0,219,0,0,122,43,0,70,0,0,0,0,0,0,0,0,0,0
CJ올리브네트웍스역삼점,146,146,146,0,1533,357,1224,72,0,1050,6716,195,0,1022,0,546,0,196,120,195,0,146,6424,5952,141,115,1387,588,24,730,3816,511,172,450,1586,43,84,210,1020,1020,960,0,2336,4104,1624,270,219,4307
GS25서초제일점,292,0,146,1092,0,612,1080,36,0,90,292,780,58,219,240,840,0,56,225,0,102,219,11972,2568,141,207,1679,1001,72,1387,1296,1168,86,360,2501,473,11,420,857,952,528,0,1168,893,9408,234,73,2263
KFC서초동,219,584,0,294,730,0,0,0,0,0,0,910,0,73,816,42,0,0,165,15,511,438,876,288,47,0,73,126,72,292,432,803,0,45,244,43,548,280,73,68,96,68,365,133,56,36,73,146
강남일미포차,73,0,73,1134,876,0,0,0,0,270,365,0,0,0,0,0,0,28,60,15,0,0,730,2016,47,115,730,161,48,219,0,0,0,0,122,0,0,420,18,272,168,0,219,209,56,54,0,876
고종의아침,0,0,0,84,73,0,0,0,0,0,0,260,0,0,96,42,0,0,30,15,0,0,73,0,0,0,146,0,72,146,72,146,43,0,0,0,11,0,0,0,0,0,0,38,112,18,0,0
고향한식부폐,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
교촌치킨역삼1호점,219,0,0,1470,292,0,648,0,0,0,365,585,0,219,624,84,1155,84,150,90,0,0,1606,2160,188,92,1679,476,288,511,360,2117,0,225,1525,0,1453,1470,0,1088,2856,0,292,722,616,468,73,730
금문도,73,219,0,7896,292,0,504,0,0,210,0,65,0,146,96,42,0,28,30,60,146,73,6497,3144,0,184,292,161,0,365,648,219,0,0,1342,43,11,0,36,136,72,0,219,2489,280,18,0,3212
김영모과자점,146,73,0,168,1168,510,0,108,0,210,73,0,0,73,720,420,0,28,90,75,73,730,803,168,0,276,3066,0,1152,949,216,2701,0,45,122,0,729,1400,182,272,984,0,73,190,2072,396,146,73
다이타네일예진미인,0,0,0,0,73,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
더샘강남역점,0,146,0,756,146,51,0,0,0,60,146,130,0,0,48,42,0,84,30,15,0,0,584,312,0,0,73,98,0,73,1224,146,86,360,305,0,0,0,109,238,360,0,1679,228,112,90,146,219
도미노피자서초점,146,219,0,0,292,1224,0,72,0,420,146,1300,0,219,0,294,105,0,225,15,511,730,438,120,0,161,1679,0,264,292,0,803,0,0,122,0,772,560,54,408,552,136,0,38,112,72,73,146
도스타코스본점,0,0,73,504,1314,51,0,36,0,90,219,910,0,73,288,0,0,0,30,15,0,73,1825,192,47,184,1606,224,24,1752,360,730,0,180,2562,172,33,70,108,204,120,0,146,76,1904,72,73,365
두나서점도곡점,73,73,0,0,0,0,0,0,0,480,0,0,0,0,48,0,0,0,45,15,0,146,146,0,141,23,219,0,96,0,72,219,0,0,0,0,73,140,73,0,24,102,73,19,224,18,0,0
디에이비강남점,0,0,73,252,146,0,72,0,0,90,73,65,0,219,0,0,0,0,45,0,0,73,146,216,0,23,584,0,0,0,792,0,43,630,244,43,0,0,109,340,144,0,438,57,616,18,146,219
뚜레쥬르서초역점,146,146,73,336,511,612,144,108,0,120,73,455,0,219,576,84,105,56,0,75,803,511,584,384,141,184,730,287,96,73,432,949,0,45,244,0,55,350,146,238,96,748,73,304,168,144,146,219
마키노차야역삼점,0,0,0,630,0,51,72,36,0,180,365,780,0,73,48,42,140,0,60,0,0,73,584,216,47,46,657,112,216,146,288,365,0,0,61,0,241,0,91,102,240,0,73,114,280,36,0,365
