(주)거북곱창	고기집,유명한,고가
(주)대한음악사서초지점	음반,악보,도서
(주)툴쿠아즈	점심,저녁,양식,연인,중저가,숨은
CJ올리브네트웍스역삼점	올리브영,편리함,간편
GS25서초제일점	GS25,편리함,간편
KFC서초동	패스트푸드,친구,싱글,편리함,햄버거,치킨
강남일미포차	직장인,홀,해산물,호프
고종의아침	저녁,카페,싱글,연인,친구,고급진,편안함,고가
고향한식부폐	점심,저가,직장인,뷔페,싱글,다양,평일,편안함,매일
교촌치킨역삼1호점	배달,가족,치킨,호프
금문도	중식,점심,단체,편안함,중저가
김영모과자점	카페,저가,베이커리,테이크아웃,케잌,빠띠쉐
다이타네일예진미인	화장품
더샘강남역점	더샘,화장품
도미노피자서초점	배달,가족,편리함,양식
도스타코스본점	점심,저녁,친구,연인,편암함,저가,양식,예약,유명한
두나서점도곡점	서적
디에이비강남점	패션,구두
뚜레쥬르서초역점	카페,저가,베이커리,케잌
마키노차야역삼점	점심,저녁,가족,단체,고급진,고가,뷔페,다양,유명한,예약,기념일
만리성	중식,점심,직장인,편안함,중저가
매드포갈릭예술의전당점	점심,저녁,가족,연인,고급진,고가,단품,기념일
맥도날드강남점	패스트푸드,친구,싱글,편리함,햄버거
미니스톱강남센터점	미니스톱,편리함,간편
미스터피자선릉점	배달,가족,친구,편리함,피자
봉피양	국수,고기집,직장인,점심,저녁,단체,고급진,고가
빈로이	베트남,점심,저녁,연인,고급진,고가,친절,유명한
삼통치킨	직장인,홀,치킨,호프
서초버드나무집	고기집,고급진,고가,연인,가족,유명한
세븐일레븐양재점	세븐일레븐,편리함,간편
아리따움강남역지하점	아리따움,화장품
아웃백양재점	점심,저녁,가족,연인,단체,고급진,고가,단품,유명한,예약,기념일
아이제이	구두
에프샵2	패션,구두
엔제리너스강남교보타워	엔제리너스,커피
엘투제이뮈렌	점심,저녁,직장인,편안함,저가,양식,숨은,예약
연화산	점심,가족,직장인,고급진,단체,중식,고가
왕대박감자탕	한식,직장인,연인,친구,저가
주식회사비에스케이코퍼레이션	화장품
커피빈강남대로점	커피빈,커피
커피빈서초우성점	커피빈,커피
탐앤탐스서초점	탐앤탐스,커피
토니모리강남점	토니모리,화장품
파리바게뜨	카페,저가,베이커리,케잌
파리크라상강남역	카페,저가,베이커리,케잌
파스쿠찌	파스쿠찌,커피
한국아트체인	아트샵,미술,공예품,상설
황토감자탕	한식,점심,직장인,유명한,저가,싱글
