(주)거북곱창	거북곱창 서초
(주)대한음악사서초지점	"대한음악사" 위치
(주)툴쿠아즈	툴쿠아즈 강남
CJ올리브네트웍스역삼점	cj올리브네트워스 역삼
GS25서초제일점	gs25 서초
KFC서초동	kfc 서초
강남일미포차	"일미포차" 강남
고종의아침	고종의아침
고향한식부폐	"고향한식부페" 역삼
교촌치킨역삼1호점	교촌치킨 역삼
금문도	금문도 강남 중식당
김영모과자점	김영모과자점 서초
다이타네일예진미인	"예진미인" 강남
더샘강남역점	"더샘" 강남역
도미노피자서초점	"도미노피자" 서초
도스타코스본점	"도스타코스" 강남 
두나서점도곡점	"두나서점"
디에이비강남점	"dAb" 매장 속옷
뚜레쥬르서초역점	"뚜레쥬르" 서초
마키노차야역삼점	"마키노차야" 역삼
만리성	"만리성" 중식당 서초동
매드포갈릭예술의전당점	"매드포갈릭" 예술의전당
맥도날드강남점	"맥도날드" 강남점
미니스톱강남센터점	"미니스톱" 강남센터
미스터피자선릉점	"미스터피자" 선릉점
봉피양	"봉피양" 강남
빈로이	"빈로이" 강남
삼통치킨	"삼통치킨" 강남
서초버드나무집	"버드나무집" 서초
세븐일레븐양재점	"세븐일레븐" 양재점
아리따움강남역지하점	"아리따움" 강남역
아웃백양재점	"아웃백" 양재점
아이제이	"아이제이" 강남 네일
에프샵2	"에프샵" 강남
엔제리너스강남교보타워	"엔제리너스" 교보타워점
엘투제이뮈렌	"뮈렌" 강남 펍
연화산	"연화산" 중식당 도곡
왕대박감자탕	"왕대박감자탕" 강남
주식회사비에스케이코퍼레이션	"비에스케이코퍼레이션"
커피빈강남대로점	"커피빈" 강남대로점
커피빈서초우성점	"커피빈" 서초우성점
탐앤탐스서초점	"탐앤탐스" 서초점
토니모리강남점	"토니모리" 강남점
파리바게뜨	"파리바게뜨" 강남점
파리크라상강남역	"파리크라상" 강남점
파스쿠찌	"파스쿠찌" 강남
한국아트체인	"한국아트체인"
황토감자탕	"황토감자탕" 강남
